abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
l.,"ciągników serii 1523 i 1221 otrzymały sześciocylindrowe silniki o pojemności 7,2 <mask> Także te modele nie były wysilone mocowo i osiągały 158 KM w przypadku Belarusa",litra,litr,"tensor([[   259,  17093,  18740,    259, 107669,    259, 110416,    259,    266,
            259, 144390,    259,    268,  65348,    276,    259,    263, 210001,
            268, 104990,   3407,  78718,    650,    259,    268,    485,   5417,
          14068, 160987,   1042,  55114,    669,   3105,   3598,    400,   2946,
            265,    716,    455,   4430,    259, 202425,  59353,  11525,   9394,
            259,    266,    259,    337,  89793,  25177,  38260,  38893,    414,
          10207,    662,    259,  72512,    262,      1]])","tensor([[   259, 197642,      1]])"
s.,"na zderzaku poprzedzającego auta w odległości zaledwie 1,235 s przy założonych 3 <mask> Przy okazji prawą ręką obsługiwał telefon.  Podobnie srebrny Ford S-Max – jego szofer",sekundach,sekunda,"tensor([[   294,  28224, 106512,    662,  53674,   9449, 112669,  55526,    414,
            259,  99035,  23876,  61730,  56360,  26401,   3337,    259,    263,
           2890,    466,  33865,  31380,    381,   1042,  55114,    669,  22854,
          16350,    976,  32077,    761,  51411,   5665,    999,  53751,  53181,
           4695,    260,    259,  65007,    634,    259, 125079,    680,  10241,
            320,    264,  18630,    322,    259,  10778,   6118,  71986,      1]])","tensor([[25277,  1483,     1]])"
Sen.,"Kambodża nie wypowiada się na temat wewnętrznych spraw innych państw - powiedział Hun <mask> Agencja Reutera przypomina, że rządzący Kambodżą od ponad 30 lat polityk sam w 1997",Sen.,Sen.,"tensor([[   259, 229279,    285,  20389,    716,   1628,  39012,    947,    294,
          21334,    414,  51115,   3039,  14601,    281,   2765,    421,  79823,
            259,    264,    259,  58942,  18326,   1042,  55114,    669, 117205,
            462,    788,  43820,    262,   2890,  90323,    261,   1810,    259,
          66315,  91003,    259, 229279,    285,  39245,    682,    259,  39461,
            733,    283,    270,    259,  95975,   2290,    414,   9081,      1]])","tensor([[6457,  260,    1]])"
s.,"grzechów.  Cykl rozpoczęliśmy rozmową z Jerzym Pilchem o pysze; o gniewie mówiła <mask> Małgorzata Chmielewska, o chciwości - Janusz Palikot, o nieumiarkowaniu - Bartłomiej",siostra,siostra,"tensor([[105533, 141140,    260, 226115,    280,  32230,  31147,  19927,  57158,
          18180,    397,   1170, 155128,  16833,  22244,    259,    268,  51753,
           1043,    296,    259,    268,    259,    318,   1145,   8614,    259,
          18365,   4005,   1042,  55114,    669,  81600,  72416,   1319,   1536,
          98897, 166177,    261,    259,    268,    259, 183161, 126061,    259,
            264,   2105,  22267,  56199,   9395,    261,    259,    268,    716,
           8816,  33062,  45088,    259,    264,  42103, 180812,  12476,      1]])","tensor([[  395, 74671,     1]])"
b.,"ocenił w rozmowie z PAP poseł Michał Jach. Odniósł się w ten sposób do wypowiedzi <mask> szefa MON Tomasza Siemoniaka, który podczas środowej wizyty w Rzeszowie powiedział:",byłego,były,"tensor([[ 22466,  34033,    414,  57158,   7484,    397, 140083,  14120,   2898,
           1784, 111613,    664,   1483,    260,   3770,    272,  84116,   2898,
            947,    414,   3034,  20366,   5715,    342,   1628,  97537,   1042,
          55114,    669,    259, 153243,    262,  43699,    259, 104740,    262,
           1328, 106978,    479,    261,    259,   1743,    276,   1012,  12347,
          21951,   6955,    259,  74592,   1421,    414,    259, 211765,    634,
            259,  58942,    267,      1]])","tensor([[  455, 49152,     1]])"
m.,"Agencji Kosmicznej został przesunięty i minął chińską zużytą rakietę w odległości 50 <mask> Envisat waży 8 ton, człon rakiety 3,5 tony. Z kolizji takich obiektów powstałyby",metrów,metr,"tensor([[117205,    976, 211333, 151885,    259,  14183,  91958,    273, 138742,
            259,    266,    658,  83321,   2006, 218475,    760,   5318,   7849,
         143177,    265,  16204,    414,    259,  99035,  23876,   1013,   1042,
          55114,    669,    642, 201771,    683,   5318,    630,   9562,    261,
          71610,    272,  35803, 105040,  21591,    288,    680,    260,    736,
          47733,  82095,    756,   2623,    259,    268,  77584,   1174,  44851,
          25177,   1027,      1]])","tensor([[  824, 64058,     1]])"
w.,"„Witraże starego Budapesztu”. Artystyczne przeszklenia pochodzące z przełomu XIX i XX <mask> o różnorodnych motywach geometrycznych, florystycznych, figuralnych, zoomorficznych,",wieku,wiek,"tensor([[   565,    638,  80620,   3598,   4527,   1796, 131451,    263,  68429,
           1476,   3009, 134793, 155331, 116514, 127665, 194121,    397, 172035,
          98142,    259,  25990,    259,    266,  20944,   1042,  55114,    669,
            259,    268,  19952, 144321,   2765,    259, 109163,   1483, 230642,
          57473,    261,  47234,    276, 186574,    261,  24551,  41635,    261,
           1511, 224559, 145177,    261,      1]])","tensor([[1968,  662,    1]])"
o.,miał napisać Dworczyk.  Afera mailowa. Ja mogę być prezesem PGZ. Załatwię 'wsparcie <mask> Tadeusza'  Finalnie 1 września 2019 r. w czasie obchodów poza premierem Morawieckim,ojca,ojciec,"tensor([[   259,  29908,  50140,   1209,    431,  62580,  84357,    260,   5319,
           1194,  14945,   4553,    260,   1480,  11851,   1241,    455,   1209,
         177508,   6524,    363,  50335,    260,   1515,  30853,    266,   1241,
            259,    277,    481,  40916,   3352,   1042,  55114,    669,    366,
         161289,    745,    277,  11502,   1145,    333,  27408,  44850,    262,
            607,    259,    286,    260,    414,   7131,    634,  17051,   1174,
          37227,   8876,    470,  29370, 217342,    282,      1]])","tensor([[ 259, 1171,  750,    1]])"
p.,"supporting energy efficiency in Poland. Energy and Environment, Vol. 15, No. 2, <mask> 261-270. ZEGAR J.S., 2003 - Kierowanie zrównoważonym rozwojem społeczno-gospodarczym",pages,page,"tensor([[  2478,    347,  16148,    259,  69452,    281,  30925,    260,  21697,
            305,  74420,    261,   3701,    260,   7057,    653,    260,   4802,
           1042,  55114,    669,  83025,    264,  23407,    260,  96677,  59794,
            664,    260,    399,    260,    261,   4323,    259,    264,  81014,
           8748,    397,  36925,  20844,  51731,  42132,    268,   5417,  55691,
            268,    264, 152729,   2722,      1]])","tensor([[15192,     1]])"
ego.,"stronie www.rp.pl/licencja. CZYTAJ TAKŻE Neonaziści chcą śmierci księcia Harry'<mask> ""Zdrajca rasy"" Amerykański żołnierz skazany na 25 lat. Pomagał dżihadystom REKLAMA",ego.,ego.,"tensor([[  9693,    634,    323,    260,    286,    325,    260,   2159,    275,
          17069, 178364,    260,    259, 125487, 153491,  84425,  33269,    478,
          93451,  46369,  24378,    562,  63149,    259,  85536,    769,  86508,
           1729,  22930,    277,   2709,  55114,    669,    313, 145988,   1030,
            750,    259,   2339,    276,    311,    298, 205217,  77886,    259,
          30785, 140174,    286,    360,   4429,  92282,    294,    877,    283,
            270,    260,   1139,  22330,   2898,    331,   1610, 171481, 168303,
            282,    259,  99571,  88971,      1]])","tensor([[ 259, 1796,  260,    1]])"
